text,label
"আপনাকে কিভাবে ধন্যবাদ জানাবো আমার ভাষা নেই স্যার,",1
লাইট আরো ভালো মানের লাগান ভাই,0
মাশাল্লাহ ।আপনার কথা বলার স্টাইল দারুন। 😌ধন্যবাদ এত সহজভাবে বুঝানোর জন্য,1
আপনাকে অনেক ধন্যবাদ আপনার মুল্যবান ভিডিও দেওয়ার জন্য আপনার কাছে অনুরোধ করছি দয়া করে ।,1
"অনেক সুন্দর উপস্থাপনা, কঠিন বিষয়টিও অনেক সহজ হয়ে যাচ্ছে। ধন্যবাদ ভাই।",1
ভাইয়া খুব সহজে বুঝতে পারলাম এমনকি আপনার প্রশংসা অতুলনীয়,1
ভয়েজটা একটু অস্পষ্ট লাএ।,0
"অসাধারন প্রেজেন্টেশন... খুবই হেল্পফুল। আপনার কাছে একটি প্রশ্ন ছিল, আশা করি আমাকে একটু হেল্প করবেন। আমি প্রোগ্রামিং -পিএইচপি -ইন্টারমিডিয়েট লেবেল কমপ্লিট করছি, আমি এখন এ্যান্ড্রয়েডে সুইচ করতে চাচ্ছি, এটা সম্ভব? কিভাবে সম্ভব? একটা গাইড লাইন চাই। প্লিজ প্লিজ",1
আপনার কাছেই ভালো করে বুঝালাম।,1
আস সালামু আলাইকুম ভাই আমি এইচ এস সি ২০২৩ ব্যাচ।  আমাদের সিলেবাস টা কম্পিলিট করে দিলে অনেক উপকার হতো । ভাই 💝😴,1
এই কোর্সটি পড়াশোনা সেটি নিয়ে একটি পুরনো সময় আছে।,0
"সত্যিই ,,অনেক অনেক উপকৃত হইছি,যা প্রকাশ করার মতো না।ধন্যবাদ 🙂",1
স্যার আমি একেবারেই নতুন। আপনাকে কি বলে যে ধন্যবাদ দিবো তা আমার ভাষা নেই। আপনি প্রকৃত দেশপ্রেমিক।  দেশের মানুষদের কথা ভেবে আপনি অনেক কষ্ট করছেন।  ইনশা আল্লাহ আপনি দোয়া করবেন স্যার যেনক সফল হতে পারি। আপনার কষ্ট ব্যর্থ হতে দিবো না স্যার।,1
সার একমুখী বিক্রিয়ায় এটা হবে না,0
এই প্রথম সমাস বুঝলাম।এতো দিনে শুধু পড়েছি😇😇।ধন্যবাদ ভাই 💕💕💕,1
"আলহামদুলিল্লাহ অনেক ভালো বুঝেছি, আগামীকাল আমাদের বাংলা দ্বিতীয় পত্র বোর্ড পরীক্ষা।",1
একটু জোরে কথা বললে ভালো হয়তো,0
এত অহংকার কেন করেন,0
কি বুজান এগুলা,0
বাংলা ভাষায় এত সহজ করে কেউ আর ভিডিও তৈরি করে নি। আপনাকে অনেক ধন্যবাদ ভাইয়া।,1
লাইন বোঝালেন না,0
ভাই সহজ করে পড়ান আরও,0
"ভালো লাগে, অনেক সাহায্যকারী",1
এই কোর্স দিয়ে কিছু শিখা যাচ্ছে না।,0
আসসালামুআলাইকুম  আপনার ব‌ইটি কক্সবাজার এর কোনো  লাইব্রেরী তে পাওয়া যাবে ?,1
আপনাকে ধন্যবাদ দেওয়ার ভাষা হারিয়ে ফেলেছি । তবে শুধু এতটুকুই বলি আল্লাহ আপনাকে রহমত করুক ।,1
ভাই আপনার বলার ধরন শুন্দর।কিন্তু পরানোর মাঝখানে এতবার আপনার বইয়ের রিভিউ দিলে খুবই বিরক্ত লাগে,1
আমাদের সময় ক্লাসে এত সুন্দর করে পড়া হয় না যে পড়া কঠিন মনে হয়।,0
এত ফালতু কেমেরা দিয়ে ভিডিও করসে কিছু দেখা যায় না,0
সব সমস্যা দূর হয়ে গেছে।,1
সুবহানাল্লাহ 😮!!! এতো সুন্দর ক্লাস মাশাআল্লাহ 🥰☺️☺️!!!,1
তবে আপনার ক্লাস প্রশংসনীয়,1
থ্যাংক ইউ সো মাচ অনেক সুন্দর করে বুঝিয়েছেন ধন্যবাদ ভাই মন থেকে ভালোবাসা রইলো অবিরাম,1
আপনার সবগুলো ভিডিও দেখলাম অসাধারন আপনার উপস্থাপনা। এমন ভিডিও বানালে কাউকে আর অন্যের দারে দারে যেতে হবে না যে একটু সিখেয়ে দেন এইটা কি এইটার মানে কি। ধন্যবাদ আপনাকে অসংখ্য ধন্যবাদ।,1
আপনার কথা কম শোনা যাচ্ছিল,0
ভালোবাসার অরেক নাম ফাহাদ স্যার😍😍😍,1
এতোটা আন্তরিকতার সাথে পড়ানোর জন্য ❤️,1
এক টপিক রেগুলার আলোচনা না করে আরও টপিক নিয়ে পড়ান,0
আপনার ক্লাস এ মুগ্ধ হলাম।আল্লাহ আপনাকে সুস্থ রাখুন।এরকম ক্লাস আরও দেবেন।,1
অগ্রদূত বাংলা বই টা কিভাবে পাবো ইন্ডিয়া থেকে,0
ক্লাসটা খুব সুন্দর হয়েছে ৷,1
ধন্যবাদ নাহিদ ভাই❤️❤️❤️,1
javar ভিডিওতে আপনি দেখান একরকম আমরা pai আরেকরকম,0
"স্যার, আপনার ক্লাস গুলো খুব ভালো লাগে।  আপনি খুব ভালো ভাবে বুঝান। আগে কিছুই বুঝতাম না, এখন সমস্যা হয় না।",1
আপনার থেকে দেখে দেখে আমি সব ভুল করে আসছি,0
আপনার প্রত্যেকটা টিউটোরিয়াল এক কথায় অসাধারণ!,1
আমি এই কোর্সটির জন্য কোন মৌলবাদী উপকার পেলাম না।,0
"ধন্যবাদ ,,অনেক উপকার হলাম🥰",1
ভাই আপনার লিখাটা একটু বড় করবেন,0
আপনার ক্লাস আলহামদুলিল্লাহ ভালো লাগে ❤️,1
"ভাই, ক্লাডটা সুন্দর তবে লেখা বুঝার জন্য  কালোর উপর সাদা কলম ব্যবহার করলে বোধ হয় আর সুন্দর হয়ে উঠত।",1
ধন্যবাদ ভাই আপনার মতো করে সবাই বুঝাতে পারে না,1
"বুঝলাম,, অনেক ভালো ভাবেই বুঝলাম,, ধন্যবাদ",1
সুন্দর ভাবে বুঝান আপনি ভাই❤😊,1
সত্যি আমি অনেক ভালো বুজতে পারি আপনার পরা ও সেভাবে বুজান 😊😊😊,1
শুধু এক্সট্রা কথা বলে,0
মনে হইতেছে কলেজে যেয়ে যা বুজেছি  তার চেয়ে   আপনার ভিডিও দেখে বেশি বুঝতে পারছি,1
ভাই আপনার বুজানোটা অনেক ভালো লাগে,1
এই গল্প থেকে আমরা যা শিখলাম: আত্মহত্যা গৌরবের বিষয়,0
প্লে লিস্টের আগা মাথা ঠিক নাই ... ভিডিও একটার পরে অন্য একটা আসে,0
আপনি কথা বলতে পারেন না।,0
আল্লাহ আপনাকে সারাজীবন এভাবেই আমাদের পাশে থাকার তৌফিক দান করুক! 🥰 ভালোবাসা অবিরাম ❣️,1
আপনার কথা আমার বুঝার জন্য উপযোগী। জাজাকাল্লাহ🤲,1
আলহামদুলিল্লাহ ভালো অনেক সুন্দর একটা ভিডিও ❤️💞💜💝,1
আপনার কথা থেকেই বুজা জাচ্ছে কিছুই জানেন না আপনি,0
ঘনমাত্রা তো ব্যাখ্যা করা হলো না,0
আপনি অনেক সুন্দরভাবে বুঝিয়েছেন।,0
শিক্ষার প্রতিদানে আপনি তো টাকা পাচ্ছেন,0
"লাইটিং জঘন্য, অনেক বেশি চোখে বাজে",0
এতদিন মাথার উপর দিয়ে যাইত ইনশাল্লাহ এখন সব ক্লিয়ার হইছে অনেক অনেক ধন্যবাদ।,1
আপনি প্রোগ্রামিং এর পি ও জানেন না,0
আপনার ব্যাখায় কোথাও হলওয়েলের বা ক্লেটন এর ব্যাপারে কিছুই বলেন নি এবং আপনার হাতের লেখা খুবি বাজে,0
ধন্যবাদ আপনার প্রতি টি ভিডিও অনেক সহজ ভাবে উপস্থাপন করছেন,1
ভাই পড়ানোর সময় কি মোবাইল চেক করা লাগে,0
