text,label
মাদ্রিদ হারার পর পুরা মনটাই ভাইঙ্গা গেছে :( কিছুই ভালো লাগেনা ... ২ তারিখ কোপেনহেগেন এর সাথে হোম ম্যাচ .... http://fb.me/2MIEwzs4Z,0
"আমি মানুষটা খুব একটা ভালো না। আসলে ভালো থেকে কি কোন বিশেষ সুবিধা আছে? না, নাই! ভালো থেকে অনেক দেখেছি, এটার কোন দামই নাই।।।",0
নোয়াখালীতে একজন মারা গেছে পিকেটারদের ইটের আঘাতে :(((,0
﻿মন দিতে না পারলে মন ভেঙো না। সুখ দিতে না পারলে কষ্ট দিওনা। ভালোবাসতে না পারলে অভিনয় করিও না। অভিনয় করে কারো জীবন নষ্ট করো না।,0
আজাইরা কামে যে প্রচুর সময় নষ্ট করি তা আজকেও আরেকবার প্রমান হইলো :( কামের সময় খালি ঘুম আসে :( এই সমস্যা ওই... http://fb.me/2q2xv8A5H,0
একজন লাইক ভিক্কা চাইছিল দি নাই বলে অনেক গালা গালি করলো :( কি দরকার এই সব ভার্চুয়াল খ্যাতি এর। সামান্য একটা লাইক... http://fb.me/2qRZEla36,0
কয়েক বছর পিছনে ফিরে যেতে ইচ্ছে করছে :( ইস !!! সত্যি যদি কয়েক বছর পিছনে যেতে পারতাম_তাহলে নিজের সব ভুল গুলো শুধরে নিতে পারতাম :'(,0
বাংলা লায়ন একটা বাল... >:( আজকের রোমান্টিক ওয়েদার এ মুখটা খারাপ করাইল... >:(,0
"Postulates Of Special Theory Of Relativity এল স্বীকার্যগুলো মাথায় ঢুকছে না :(( পুরাই ""মাথা নষ্ট ম্যান"" টাইপের জিনিস :(",0
Frnd list এর কিছু close পোলাপাইন এর তাদের so called gf নিয়ে hunkypunky দেখলে অসহ্য লাগে.. . . Feeling irritated ;-> ;->,0
"মেয়েদের রাগ কম, ছেলেদের রাগ বেশি...যার রাগ বেশি তাঁর ভালবাসা ও বেশি...তাই তারা কষ্ট পায় ও বেশি....... : (",0
সবকিছুর-ই একটি নির্দিষ্ট সীমা আছে কিন্তু ভালোবাসার মানুষকে মিস্ করার সময় যে কষ্ট হয় তার কোন সীমা থাকে না....:(,0
খুব কাছের কাউকে ভুলে যাওয়ার কোন সংক্ষিপ্ত পথ নেই। প্রতিদিন তাকে মনে পড়তে থাকবে এবং স্মৃতিগুলো কষ্ট দিতে থাকবে।,0
আমার মনটা খুব খারাপ । একটা post দিলাম কিন্তু কেউ like দিল না .........,0
"প্রকৃতিতে মানুষ বড়ই অসহায় প্রাণী...! নিয়তিকে মেনে নেওয়া ছাড়া, মানুষের আর কিছুই করার থাকে না..!! :( #XX",0
"বাহিরে বৃষ্টি হচ্ছে| বৃষ্টিতে ভিজতে ইচ্ছে করচ্ছে খুব| কিন্তু, ভয় হচ্ছে যদি ঠান্ডা লেগে যায়| তাই ভয় নিয়ে আর ভিজা হলনা| :-( :-( :-(",0
তুমি যদি কাউকে কষ্ট দিতে না পারো তাহলে মনে রেখ তোমাকেই তার জন্য এক দিন কষ্ট পেতে হবে । :(,0
খুবই অশান্তিতে আছি..... :( মন মেজাজ পুরাই খারাপ....,0
"চাওয়া গুলো আমার আজ অদ্ভুত এলোমেলো……… বাস্তবতার নেই যে ছোয়া, অকেজো এক ঝাপসা বোধ :(",0
নাহিদ রে দেইখে হিংসা হইতেছে। ৭ টা টিচারের কাছে প্রাইভেট পড়তেছে :(,0
"কিউবির মডেম রিটার্ন করতে গেলাম, মাগার আফসোস ডঙ্গল হবার কারনে আমারটা নিলো না :( কিউবির মায়রে বাপ কি ডিসকো কি ডিসকো >:(",0
মাথা ব্যাথা... :(,0
"অনেক দিন পর গ্রামে আসলাম এসে এখন পুরনো বন্ধুদের কাউকে খুঁজে পাচ্ছি না, সবাই ছিটাবিটা হয়ে গেছে ..:(",0
:( নাইজেরিয়ায় বোকো হারামের হামলায় ২৮ শিক্ষার্থী নিহত নাইজেরিয়ার উত্তর-পূর্বের ইয়োবো প্রদেশের একটি কলেজে... http://fb.me/L3yVBKs0,0
কাছের মানুষগুলো আজ খুব ব্যস্ত :/ কারও সময় নেই :(,0
নিজেই দেখি জ্বর বাধায়ে ফেললাম :(,0
অনেক কাজ থাকা সত্ব্যেও যখন ঘুমুতে ইচ্ছে করবে তখন বুঝতে হবে কাজে মন নেই :( আমি শেষ... মহা অলস হয়ে গিয়েছি।,0
ফোনে টাকা নাই কি জালা :(,0
কি একটা সমস্যা আমি কারোর কোন পষ্টয়ে লাইক কমেন্ট করতে পারছি না কেন????? :(,0
"শুধু হ্যালো শব্দটা শুনতে উতলা হতে হয়না , একটু কথা না হলে , রাতে বা বিকেলে ঘুম ভেঙে বুকে কাপন উঠেনা :( :( :(",0
এই হইল বিলাই এর সার্ভিস ......... এমনিতে কানেক্ট হইতে ২ দিন লাগে তার উপর সাইট লোড হয়না !! বাল ...... >:( http://fb.me/4niCpEmLA,0
সাইন্স চলবে সাইন্সের নিয়মে। ধর্মকে যদি এর মাধ্যমে প্রকাশ করতে চাওয়া হয় তবে তা চরম নির্বুদ্ধিতার পরিচায়ক হবে :(,0
ধ্যাত !! — #feeling_sad.,0
জীবনে না বলা কথার পাল্লা ভারি সুখের চাইতে দুঃখই তাই বেশী :( :(,0
প্রেমে পড়ে যাওয়া খুব খারাপ জিনিস। টেনেও তোলা যায় না; টেনে তুলতে গেলেও উঠতে চায় না।,0
হাসতে পারিনা কাঁদতেও পারিনা-বাঁচতে চাইনা মরতেও পারিনা- :(,0
না পারলোনা রাতের ঘুম আমাকে হারাতে পারলো না কিন্তু সকালের ঘুম আমাকে ঠিকই হারতে বাধ্য করবে :(,0
একদিন তুমি বলেছিলে আমি এখন আর একা নই তুমি আমার সাথে আছো !! কিন্তু আজ তুমি নেই তোমার দেয়া কষ্টগুলো আমার সাথে আছে ... :(,0
খুব পেইন এ আছি:-(:-(,0
ছুটি দুই'টা বৃথাই গেলো :(,0
সারাদিন বৃষ্টিতে ভিজে এখন অবস্থা সেইরাম ফিলিং মাথা ব্যাথা...:(,0
তোরা যে যা বলিস ভাই...আমার সোনার হরিণ চাই... আলাদীনের চেরাগ হলেও মন্দ হয় না... কারণ আমার পার্সে এখন দুর্ভিক্ষ চলছে :/ :(,0
আমরা কিছু কইলেই দোষ! :-( :-( :-(,0
জ্বর এ অবস্থা খারাপ :( :(,0
মনটা ভীষণ খারাপ :(,0
যা হতে যাচ্ছে :( বহাবহ চিন্তা করা যায় না http://fb.me/M2nf9NVX ,0
"ঢাকা জাওয়ার তারিখ পরিবর্তন করলাম, কিছু সমস্যা রয়েই গেছে, সমাধান না করে গিয়েও লাভ নেই :(",0
কিউবি রে একটা শ্রেষ্ঠ ধোলায় দেবার দরকার ! স্লো নেট :(,0
কিং লিওর জাদুকরী ক্রস কিন্তু পিকের সহজ সুযোগ মিস :( ১৫ মিনিট শেষ - কোন দল গোল এর দেখা পাইনি ।,0
উফফ!অল্পের জন্য গোল হল না।ইশ পিকে যদি হেডটা লাগাতো পারতো! :(,0
৩ দিন ধরে জ্বর-ঠান্ডা-কাশি লেগে আছে. অবস্থা খুবই খরাপ .. :(,0
ইচ্ছে থাকলেই উপায় হয় না।। এই রকম সুড়সুড়ি মার্কা ঘুমের পরিবেশ রেখে স্যারের সাথে মিটিং !!! :-(,0
ভুইলাই গেসি আজকে হরতাল!!.:( ক্রিকেট খালা ছিল সকালে :/,0
কিচ্ছু কিচ্ছু সময় তোমাকে অনেক বেশি miss করি.... :(,0
ঠ্যাং চেগাইয়া নবাবী ঘুম দিছিলাম :/ আফসুস আমার ঘুম কারো সহ্য হয় না :(,0
আগের লিখা সবকিছু মুছে ফেলেছি... নতুন কিছু লিখবো এই ভেবেই বসি খাতা-কলম নিয়ে কিন্তু তুমি ছাড়া আমার লিখার মতও কিছু নাই :(,0
হৃত্তিক হইবার মন চায় :(,0
"ছোট্ট বেলায় অভিমান করলে অনেক কিছু পেতাম, আর এখন অভিমান করলে অনেক কিছু হারাই.. !! :-(",0
মাইরালামু >:(,0
আমার সব চেয়ে গুরুত্ব পূর্ণ ইমেইল আইডি টি হ্যাঁক !! ফেসবুক আইডি ও হ্যাঁক :(,0
"নাই নাই, কেউ নাই.. :(",0
"কিছুতে তোমার মনটা আমি বুঝতে পারিনা,এতো চেনা তবু কেন লাগে অচেনা? :(",0
"একদিন কান্নার রোল উঠবে আমার বাড়িতে, আমায় নতুন করে দেখতে সবাই আসবে সারি সারিতে . . . :( :( :(",0
সমস্যা এর সমাধান জানতে চাই :( http://techtun.es/1aKi1ap ,0
"আজ ইন্টারনেট এর মেয়াদ শেষ :( আবার ১২০৮ টাকা পে করতে হবে :( ভাবলাম যে টাকা পয়সার সমস্যা , অল্প টাকায় ক্যাবল... http://fb.me/12LwMb2bJ ",0
"সত্যি,,,,জীবনটা অন্যরকম হতে পারতো :(",0
পালিয়ে যাইতে চাই :'( অনেক দূর :(,0
গোফ দাড়ির জলাঞ্জলী দিলাম। ফিলিং - বিমর্ষ :(,0
এত বৃষ্টি হচ্ছে তাও গরম কাটেনা :(,0
প্রয়োজনে সময় কেউরে পাওয়া যায় না >:(,0
"পরীক্ষার জন্য প্রায় ১ মাসের জন্য ফেসবুক কে বিদায়, সবাইকে খুব মিস করব। বাট মাঝে মাঝে মোবাইলে আসা হবে :(",0
"ছুটির মধ্যে হরতাল এর বন্ধ পাওয়া মানে ""তেলা মাথায় তেল দেয়া!"" — feeling bored -_-",0
কেন যে আমার সাথে এমন হয় বুঝি না। আল্লাহ আমাকে কোন রকম পাশ করিয়ে দাও আমি যেন next semester এ উঠতে পারি:( :(:(:(:(:(:(,0
এইডা আমারে কি জরে ধরিল !!!! সকালে আছে বিকেলে নাই আবার সন্ধ্যায় আছে রাত্রে নাই !!!!! জরের এই লীলাখেলার মাঝে পইরা আমি শেষ :-( :-(,0
"আমার বুকের মধ্যে চিন চিন ব্যাথা, কেউ তো একবার সুধায় না :( বুকের ব্যাথা বুকে নিয়ে তাই তো আমি যাইবগা",0
বালের ম্যাচ সব!! >_< ভিজে গেলে আর জ্বলে না!! >:( ভরসা ম্যাচ!!আই মিস ইউ!! :( :'(,0
কেন এই একাকি জীবন আমার? এর রহস্য আজ বুঝতে পারি:(( আর সেটা হল পৃথিবীতে একা আসা আর একা চলে যাওয়া।,0
জীবন টা কেন জানি সাদাকালো মনে হচ্ছে :(,0
বাকশক্তি হারিয়ে মোবাইল আমার বোবা !! :( সিম পরিবর্তন নিয়ে ব্যাপক সমোলচনার ভিড়ে পুরনো সিমে ফিরতেই হচ্ছে !! হ্যাঁ... http://fb.me/KUncUUIo ,0
কার্টুন দেখতেছিলাম :( ধুর কারেন্ট চলে গেছে :'( http://fb.me/2SkFux36n ,0
চিপায় আইটকা পড়সি। লাইফ হেল। :(,0
ইশ এখনকার মত যদি পরীক্ষার আগে পড়তাম....... নিশ্চিদ পাশ করতাম :( #fellings - বিলিয়ান্ট .. পুরা বই ই গরুর রচনার মত পড়তাছি,0
সাবটুইট দেখি নাই রে ভাই :-(,0
"এখনও সফলতার মুখ দেখলো না আমার গোপন প্রজেক্ট টা :(( যাই হৌক,শেষ পর্যন্ত অপেক্ষা করবো।এখনও আশাহত হই নি।",0
মোবাইল থেকে সফটয়্যারের ক্র্যাক নামানো চরম বিরক্তাকর। Feeling Boared . . .,0
সারাদিন রোমে থেকে ঘুমও হল না কোন ভালো কাজও হল না :(,0
Ahana সারাদিনে তোর সাথে একবারও কথা হয় নাই দোস্ত..!! মিস ইউ.....:(,0
দুচোখে তোমারই ছবি এঁকে যাই স্বপ্ন ভেবে সুখে তোমাকে হারাই :-( আমায় ভুলে সুখে থাকোই যত একদিন তুমিও ঠিকই কাঁদবে !,0
একটু আগে বাথরুমে গিয়ে দেখি একটা চেলা! ধুর... গা পুরো ঘিন ঘিন করছে। অসহনীয়। সরীসৃপ কে ঘৃণা করি :(,0
কারো মেসেজ এর রিপ্লাই দিতে পারতেছি না :( উইন্ডোস আবার গেছে :( সেটআপ দিইতে গেলাম :( Asif Uddin Khalifa Faisal Mahmud Mahedi,0
অপেক্ষার মতন কষ্টের জিনিস আর নাই :| :| :( :( :'( :'(,0
বোঝেনা সে বোঝেনা . . . :-(,0
একবারো কি আমাকে মেসেজ দেওয়া যায়না ? :( :'(,0
প্লীজ হেল্প :( http://fb.me/Xb1QfZ3u ,0
কিছুই ভাল লাগতাছে না .............. :(,0
বিশিষ্ট সব কুত্তা চারিদিকে >:( http://fb.me/3aiavwzYy ,0
এইভাবে আর না :-(,0
রাতজাগা পাখি ও হয়তো ঘুমিয়ে পড়েছে আর আমার থেকে ঘুম পালিয়ে বেড়াচ্ছে...... :(,0
মোর বন্দুয়া বিহনে গো :( সহেনা ফরানে গো 󾬎 একেলা ঘরেতে রইতে না ফারি :( 󾌹 - 󾇌 󾭝 󾭝,0
আম্মু আমার হরতালটা কোথায় রেখেছো? খুঁজে পাচ্ছিনা কেন? :-(,0
সে যে কেন আসে না কিছু ভাল লাগে না .... :( -- কারেন্ট এর কথা বলতেছি !!!,0
কেঁচো দেখলেই আমার গা ঘিনঘিন করে উঠে.... অথচ কাল এটা ব্যবচ্ছেদ করব এটা ভাবতেই কেমন লাগছে :(,0
"আর পারিনা আর পারিনা আমার ভীষন ক্লান্তি লাগে, আর জমেনা আর জমেনা রংগিন স্বপ্ন মনের কোণে :(",0
একটা মশারির প্রয়োজন অনুভব করছি :(,0
আবারও তুমিহীন....আমি যে ছন্দহীন :-(,0
আমার প্রিয় মোবাইলটা গেলরে! :-( আর নিয়মিত বাংলায় পোষ্ট দিতে পারবোনা! ফেসবুকও নিয়মিত চালাতে পারবোনা! :-(,0
"বড় কষ্টে আছি...:( সকাল থেকেই বাসায় পানি নাই... পানির মটর নষ্ট, টাংকিতেও পানি নাই...",0
দিন ভর ফেইসবুক আর টুইটার আর ভালো লাগেনারে পাগলা.:(,0
আজ আমি ভাল নই Today I am not happy......,0
খুব খারাপ লাগলো man city ও man utd দুই দল ই হারলো,0
আর পারছিনা গুরু সেই নার্সারী থেকে শুরু :( http://fb.me/2jnS3dX0Q ,0
"@idevadhikari একটা কথা জানেন...আপনাকে টুইট করা আর একটা গাছকে টুইট করা এক কথা! দেখেন ও না,রিপ্লাই ও করেন না! তবুও যে কেনো করি! :(",0
বৃষ্টি পরের কিন্তু আই ভিজির ন পারির :(((,0
হুরর আজকে ঘরে কিচ্ছু নাই...... KitKat খেয়ে একটু ক্ষুধা কমাইতে চাইলাম কিন্তু উল্টা ক্ষুধা আরও বেশি লাইগা গেল >:(,0
শিট!!! ফেসবুকে ঢুকলে ৫ সেকেন্ডের ভিডিও এড দেখতে হবে !!! :(,0
কিছু সংখ্যক নিদিষ্ট মানুষ (নারী জাতি) ছাড়া নারী জাতির প্রতি ঘৃনা আরো একধাপ বেড়ে গেল! :(,0
ফেবুটা আবার ডিএক্টিভেট করবো ভাবছি। ভার্চুয়াল আর ভালো লাগেনা। কেন? জানিনা :(,0
স্বপ্ন ভাঙ্গার শব্দ বিকট হয় :( :( :(,0
খুব বেশি খারাপ লাগতেসে #শৈলজ কে বিদায় জানাইতে :(,0
বন্ধুরা সব Graduate হইয়া যাইতাছে। আর আমি ইন্টার পাশ ই থাইকা গেলাম। বড়ই দু:খের বিষয়... :(,0
ভারতের সীমান্ত রক্ষীদের উপরে যে কেমন ঘৃনা জন্মেছে তা ভাষায় প্রকাশ করা সম্ভব না :(,0
মাথা নষ্ট :( এত চাপ একসাথে ক্যামনে নিব?? :( সালার ক্লায়েন্ট গুলা সব একসাথে মরতাছে আর আমারে মারতাছে :( দুয়া কইরেন... http://fb.me/KcadamC5 ,0
আজকের দিনটা স্কুলের শেষ দিন ছিলো .. স্কুল জীবন টা শেষ হওয়ার কস্ট এখন ভুযতেসি :( সারাটা জীবন ভাবতাম স্কুল টা... http://fb.me/P2z56Oj2 ,0
মাঝে মাঝে মনে হয় পৃথিবীতে কেউ কারো নয়। সময়ের প্রয়োজনে সবাই কাছে আসে আবার সময়ের ব্যাবধানে দূরে চলে যায়।. :( ~Shunno Akasher Ghuri~,0
লাইফ সাপোর্ট দিয়াও কোন কাজ হচ্ছে না :( :( :( :( :( :( দেড় বছরের সম্পর্কের ইতি টানতে হবে এখানেই... গুড বাই... http://fb.me/6teviCepO ,0
আসলে পৃথিবীতে আপন বলতে কেউ নেই ।,0
হেতের কোনো কারনে আমার চাইতে ভাল রেজাল্ট হইলে ভাবী মাইরে ফেলবো আম্রে সিউর :S,0
Disappointment is: বিয়ের সর্বনিন্ম বয়স নির্ধারন করে দেয়া হলেও সর্বোচ্চ বয়স নির্ধারন করে না দেয়া। :(,0
"মানিব্যাগে অবশেষে আর ২ টাকা বাকি রইল!!! হে আল্লাহ!!! হয় দেখা দে, নইলে এক বস্তা টাকা দে...। #feeling চুতিয়া :(",0
অনেক দিন বোম্বাস্টিং খেলি না :( :( ।,0
কি করে তোকে বলবো তুই কে আমার আয়না সাথে চলবো সব পারাপার মনেরি আসকারাতে তোর কাছে এলাম হারিয়ে গেলাম :(,0
নীলক্ষেত গেলে মাথা ঠিক থাকে না >:(,0
বিরুক্তি কর সব কিছু :-(:-(:-(:-(:-(:-(:-(:-(,0
বেটা বদমাইশ !!!! >:( http://fb.me/1pY9Ot7KD ,0
আমি আর খেলব না। :(,0
"বৃষ্টি হচ্ছে প্রচুর , ভিজতে ইচ্ছা হচ্ছে কিন্তু :(",0
#SadnessIs সত্যি কইলাম বন্ধুগণ সবাই বিয়া কইরালাইতাছে মনে হয় শুধু আমি ই বাকি :(,0
জ্বর :-( :'(,0
ইসসস...!!!!!!! বাংলাদেশ যদি আরেকটু আগে থেকে ঝড়ো ব্যাটিং শুরু করতো (ঠিক যেমন এখন চলতেছে)............. #আফসোস :(,0
ইশ সোধী নামের দাঁড়কাকটার এভারেজ রান বাড়িয়ে দেয়া ছাড়া আর কোন সুখকর ব্যাপার এই টেষ্ট থেকে আশা করা গেলো না! :(,0
ধুর নিরামিষ ব্যাটিং :((,0
হারলেও দু:খ নাই কিন্তু ড্রয়ের জন্য খেলিস না ... :( পিডা ... ...,0
:( :( গাজী হ্যাট্রিক করলো আর আমি দেখতে পারলাম না। :/,0
মাইনষের জন্যি নতুন নতুন ফেসবুক আইডি খুলতে খুলতে আমি ক্লান্ত :( ... মানুষ ক্যামনে পারে ? আমি একটা আইডি চালাইতেই...,0
বি এন পি গুড বাই লুটপাট ভুলি নাই >:( http://fb.me/1pLWsjtsz ,0
সকা-ল সকাল ঘুম থেকে উঠতে না উঠতেই মায়ের ঝারি :-( সারাদিন বাসায় থাকলে বুঝা যায় ... বাসায় কত্তো কাজ ....,0
কাল ঠান্ডা লাগছে সাথে জ্বর :( এই অবস্থায় ছুটির মধ্যেও অফিস যাচ্ছি,0
কষ্ট মনে হয় জীবনের একটা অংশ কষ্ট ছাড়া জীবনের পুর্ণতা পায় না :/ কষ্ট পেলেই বুঝা যায় জীবন বলে কিছু আছে :(,0
"ঘুম,গেমস আর মুভি এর জন্য নিয়মিত টুইটার এ আসতে পারতাসি না :(",0
আমাকে ভুল বোঝা হতছে.. pls pls pls.....miss interpret me...:( :(,0
মশার কামড়ে ঘুম ভেঙ্গে গেল। তাকাতে পারছিনা ঘুমে। তবু শালার মশা আমার সাথ ছাড়ে না :(,0
শেষ মেষ আইডিটারে আর টিকাইতে পারতেছিনা :( অনেক টা যুদ্ধ করে ফেবুতে আসতে হচ্ছে :( আমার থেকে আরও বড় বদ হচ্ছে আমার...,0
হুদাই কষ্ট করলাম এতক্ষন। ঃ//,0
হিংসা হইতেসে ..... >:(,0
জ্বর - মাথাব্যথা - ক্লান্তি । আমি নি আর বাঁচি না ?? :(,0
"অনেক দেখলাম, বুঝলাম এই পৃথিবীতে আমাকে বোঝার মতো কেউ নেই। আফসোস :(",0
বন্ধুরা মনটা ভালনা.... কেন যেন খুব কষ্ট হচ্ছে!!! :(,0
অবস্থা খুব একটা ভাল না । কিছুদিন পর হয়তো দেখা যাবে আমিও স্টার জলসার সামনে বসে যাব । :( কারন আর কিছুই করার নাই ।...,0
স্যরি :( আর কখনো তোমার কথার অবাধ্য হবো না :(,0
আমাকে কেউ লাইক দেয় না :( http://fb.me/ZyL8Syw7 ,0
মানুষের উপকার করতে গিয়েই এই পর্যন্ত সবচেয়ে বেশী কষ্ট পাইছি :( ... শালা'র বন্ধু হইয়া ও যদি পকেট কাটতে আসে :'(,0
খিদা লাগছে ... কিন্তু কিচ্ছু রান্দেনাই এখনো ... :(,0
মন ভালো নাই তাই বন্ধুদের সবার প্রো পিক গুলা দেখতাছি :(,0
হেড ফোন আর নেট এমন টাইমেই বাশ খায় যখিন আমার হাতে টাকা থাকে না :(,0
with কেউতো নাই....তাই একা একাই দেখি....:(,0
Agartala তে বৃষ্টি আর কি করে পুজাতে বের হবো । আমার তো ভালো লগছে না..... :-(,0
বৃষ্টি শেষ হয়ে মনে হয় আবার আসবে :( খেলা আজ আর হচ্ছে না :'(,0
মাশরাফি বিন মুর্তজাকে মিস করতেসি :(,0
এই টাইমে মুশির এইরকম ভুল :(,0
ইন্টারনেট না থাকা আর লোডশেডিং-এর মইদ্দে তফাৎ কি? গাজীর সেঞ্চুরি দেখা মিস হইয়া গেলো...:(,0
গেলাম গ্যা আমার ঝিম ধর্ছে।ঘুমানো দর্কার।সারা রাত ঘুমাইনাই :(,0
"নিজের স্বার্থে মানুষ বন্ধু হয়, নিজের স্বার্থে মানুষ শত্রু হয়, আসলে স্বার্থ ছাড়া কিছুই নাই এই পৃথিবীতে।",0
শুনেছি আমাকে ছেড়ে যাবার পর তুমি খুবই কষ্টে আছো । আমি কিন্তু কষ্টে নেই - শুধু তোমার মুখের ছায়া কেঁপে উঠলে বুক...,0
